num,sf,shift,LM,MW,C,N,P,O,cansmi,envlab,mw,P_oxidation_state,P_valence
Lan3-CMP195,C27H20ClN2O5P,15.25,CDCl3,518.884861,27,2,1,5,Clc1ccc(cc1)C(P(=O)(Oc1ccccc1)Oc1ccccc1)n1c(=O)[nH]c2c(c1=O)cccc2,C1O1O1O2,518.8930000000003,5,5.0
Lan3-CMP196,C27H21ClN5OP,68.4,CDCl3,497.915301,27,5,1,1,ClP(=O)(Nc1ccccc1c1nc2c([nH]1)cccc2)Nc1ccccc1c1cc2c([nH]1)cccc2,Cl1N1N1O2,497.92600000000016,5,5.0
Lan3-CMP197,C27H21N4O6PS,14.82,CDCl3,560.517600999999,27,4,1,6,O=C(NC(P(=O)(Oc1ccccc1)Oc1ccccc1)c1cccc(c1)[N+](=O)[O-])Nc1nc2c(s1)cccc2,C1O1O1O2,560.5280000000002,5,5.0
Lan3-CMP201,C27H22NO3P,39.8,CDCl3,439.442241,27,1,1,3,O=P1(Oc2ccccc2-c2c(O1)cccc2)C(Nc1ccccc1)/C=C/c1ccccc1,C1O1O1O2,439.4510000000001,5,5.0
Lan3-CMP203,C27H22N3PS2,60.0,CDCl3,483.587441,27,3,1,0,S=C1N=C(c2ccccc2)N(P(=S)(N1c1ccccc1)c1ccccc1)Cc1ccccc1,C1N1N1S2,483.60200000000015,5,5.0
Lan3-CMP207,C27H23N2O4P,10.07,CDCl3,470.456281,27,2,1,4,COc1ccc(cc1)C1N(c2ccccc2)C(=O)N(P1(=O)Oc1ccccc1)c1ccccc1,C1N1O1O2,470.46500000000015,5,5.0
Lan3-CMP208,C27H23N2O7P,17.31,CDCl3,518.454481,27,2,1,7,O=C(NC(P(=O)(Oc1ccccc1)Oc1ccccc1)c1cccc(c1)[N+](=O)[O-])OCc1ccccc1,C1O1O1O2,518.4620000000003,5,5.0
Lan3-CMP210,C27H24ClN4O4P,22.0,CDCl3,534.930620999999,27,4,1,4,CCOP(=O)(Cc1nn2c(n1)c1c(nc2)Oc2c(C1c1ccc(cc1)Cl)c1ccccc1cc2)OCC,C1O1O1O2,534.94,5,5.0
Lan3-CMP220,C27H25BrNO2PS,53.92,CDCl3,538.435660999999,27,1,1,2,Brc1ccc(cc1)N1Cc2c(OP1(=S)Oc1ccc(cc1)C(C)(C)C)ccc1c2cccc1,N1O1O1S2,538.4470000000002,5,5.0
Lan3-CMP224,C27H25N2O5P,15.72,CDCl3,488.471561,27,2,1,5,Nc1cccc(c1)C(P(=O)(Oc1ccccc1)Oc1ccccc1)NC(=O)OCc1ccccc1,C1O1O1O2,488.4800000000002,5,5.0
Lan3-CMP226,C27H25N4O4P,21.9,CDCl3,500.485561,27,4,1,4,CCOP(=O)(Cc1nn2c(n1)c1c(nc2)Oc2c(C1c1ccccc1)c1ccccc1cc2)OCC,C1O1O1O2,500.4950000000002,5,5.0
Lan3-CMP227,C27H25N4O4P,24.5,CDCl3,500.485561,27,4,1,4,CCc1ccc(cc1)C1c2c(ccc3c2cccc3)Oc2c1c1nc(nn1cn2)CP(=O)(OC)OC,C1O1O1O2,500.4950000000003,5,5.0
Lan3-CMP228,C27H25N4PS3,60.9,CDCl3,532.682960999999,27,4,1,0,Cc1ccc(cc1)c1sc2=NP(=S)(N3C(=c2n1)N(CC3)Cc1ccccc1)SCc1ccccc1,N1N1S1S2,532.7000000000003,5,5.0
